,date,Industrie,Services
0,2019-01-01,0.0,0.0
1,2019-04-01,0.0,0.0
2,2019-07-01,0.0,0.0
3,2019-10-01,0.0,0.0
4,2020-01-01,0.0,0.0
5,2020-04-01,0.0,0.0
6,2020-07-01,0.0,0.00033010163829443084
7,2020-10-01,0.0016153001227628093,0.0006602032765888617
8,2021-01-01,0.0016153001227628093,0.0006602032765888617
9,2021-04-01,0.0016153001227628093,0.0006602032765888617
10,2021-07-01,0.0032306002455256186,0.0006602032765888617
11,2021-10-01,0.0032306002455256186,0.0009903049148832926
12,2022-01-01,0.004845900368288428,0.0016505081914721543
13,2022-04-01,0.006461200491051237,0.0019806098297665852
14,2022-07-01,0.006461200491051237,0.0026408131063554467
15,2022-10-01,0.006461200491051237,0.0039612196595331705
16,2023-01-01,0.008076500613814047,0.0075923376807719095
17,2023-04-01,0.011307100859339666,0.013534167170071665
18,2023-07-01,0.017768301350390904,0.02211680976572687
19,2023-10-01,0.02746010208696776,0.033340265467737516
20,2024-01-01,0.033921302578018994,0.04555402608463146
21,2024-04-01,0.04361310331459585,0.05842798997811426
22,2024-07-01,0.05815080441946114,0.07460297025454136
23,2024-10-01,0.06461200491051237,0.08318561285019657
24,2025-01-01,0.06461200491051237,0.09077795053096849
